TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
TKN,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED,AGRO,FOOD
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,AGRO,FOOD
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,CONSUMP,FASHION
BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,CONSUMP,FASHION
CPH,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,CONSUMP,FASHION
CPL,CPL GROUP PUBLIC COMPANY LIMITED,CONSUMP,FASHION
DIGI,DIGITAL TECH PLANET PUBLIC COMPANY LIMITED,CONSUMP,FASHION
ICC,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED,CONSUMP,FASHION
LTX,LUCKYTEX (THAILAND) PUBLIC COMPANY LIMITED,CONSUMP,FASHION
NC,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED,CONSUMP,FASHION
PAF,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,CONSUMP,FASHION
PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED,CONSUMP,FASHION
PRANDA,PRANDA JEWELRY PUBLIC COMPANY LIMITED,CONSUMP,FASHION
SABINA,SABINA PUBLIC COMPANY LIMITED,CONSUMP,FASHION
SAWANG,SAWANG EXPORT PUBLIC COMPANY LIMITED,CONSUMP,FASHION
SUC,SAHA-UNION PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TNL,THANULUX PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TPCORP,TEXTILE PRESTIGE PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TR,THAI RAYON PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TTL,TTL INDUSTRIES PUBLIC COMPANY LIMITED,CONSUMP,FASHION
TTTM,THAI TORAY TEXTILE MILLS PUBLIC COMPANY LIMITED,CONSUMP,FASHION
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,CONSUMP,FASHION
UT,UNION TEXTILE INDUSTRIES PUBLIC COMPANY LIMITED,CONSUMP,FASHION
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,CONSUMP,FASHION
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,CONSUMP,HOME
AJA,AJ ADVANCE TECH PUBLIC COMPANY LIMITED,CONSUMP,HOME
DTCI,D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED,CONSUMP,HOME
FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED,CONSUMP,HOME
KYE,KANG YONG ELECTRIC PUBLIC COMPANY LIMITED,CONSUMP,HOME
L&E,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED,CONSUMP,HOME
MODERN,MODERNFORM GROUP PUBLIC COMPANY LIMITED,CONSUMP,HOME
OGC,OCEAN GLASS PUBLIC COMPANY LIMITED,CONSUMP,HOME
ROCK,ROCKWORTH PUBLIC COMPANY LIMITED,CONSUMP,HOME
SIAM,SIAM STEEL INTERNATIONAL PUBLIC COMPANY LIMITED,CONSUMP,HOME
TSR,THIENSURAT PUBLIC COMPANY LIMITED,CONSUMP,HOME
DDD,DO DAY DREAM PUBLIC COMPANY LIMITED,CONSUMP,PERSON
